Last Name,First Name,Email Address,Grade
Anderson,Daisy,daisy.anderson@dci-student.edu,6
Flower,John,john.g.2.flower@dci-student.edu,8
Smith,Samantha,samantha.smith@dci-student.edu,7
White,Amy,amy.white@dci-student.edu,14
Delgado,Desiree,desiree.delgado@dci-student.edu,7
Evans,Patricia,patricia.evans@dci-student.edu,9
Warren,Tamara,tamara.warren@dci-student.edu,14
Jones,Sarah,sarah.jones@dci-student.edu,15
Patterson,Nicole,nicole.patterson@dci-student.edu,14
Anderson,Lauren,lauren.anderson@dci-student.edu,6
Daniels,Amber,amber.daniels@dci-student.edu,15
Martin,Ashley,ashley.martin@dci-student.edu,7
Cooper,Adam,adam.cooper@dci-student.edu,10
Saunders,Richard,richard.saunders@dci-student.edu,8
Johnston,Robert,robert.johnston@dci-student.edu,12
Beck,David,david.beck@dci-student.edu,7
Garcia,Desiree,desiree.garcia@dci-student.edu,10
Campbell,Charles,charles.campbell@dci-student.edu,15
Johnson,Tara,tara.johnson@dci-student.edu,6
Myers,Brian,brian.myers@dci-student.edu,10
King,Paige,paige.king@dci-student.edu,13
Leon,Tammy,tammy.leon@dci-student.edu,14
Mccall,Kimberly,kimberly.mccall@dci-student.edu,15
Thomas,Sandra,sandra.thomas@dci-student.edu,10
Johnson,Jamie,jamie.johnson@dci-student.edu,14
Daniel,William,william.daniel@dci-student.edu,10
Joyce,Traci,traci.joyce@dci-student.edu,6
Hunt,Brett,brett.hunt@dci-student.edu,11
Faulkner,Katelyn,katelyn.faulkner@dci-student.edu,12
Underwood,James,james.underwood@dci-student.edu,13
Smith,Kerry,kerry.smith@dci-student.edu,13
Guzman,Cynthia,cynthia.guzman@dci-student.edu,15
Nguyen,Cindy,cindy.nguyen@dci-student.edu,10
Reyes,Jason,jason.reyes@dci-student.edu,13
Washington,Travis,travis.washington@dci-student.edu,13
Bennett,Richard,richard.bennett@dci-student.edu,6
Warren,Angela,angela.warren@dci-student.edu,14
Gordon,Lori,lori.gordon@dci-student.edu,15
Friedman,Linda,linda.friedman@dci-student.edu,9
Stevens,Marcia,marcia.stevens@dci-student.edu,15
Vasquez,Sara,sara.vasquez@dci-student.edu,7
Boyd,Victoria,victoria.boyd@dci-student.edu,8
Mann,Nicole,nicole.mann@dci-student.edu,8
Holt,Crystal,crystal.holt@dci-student.edu,9
Douglas,Robert,robert.douglas@dci-student.edu,9
Wolf,Courtney,courtney.wolf@dci-student.edu,15
Brown,Kelsey,kelsey.brown@dci-student.edu,15
Watkins,Carol,carol.watkins@dci-student.edu,6
Barrera,Woody,woody.barrera_jr@dci-student.edu,10
Good,Sherry,sherry.good@dci-student.edu,12
Brock,Lauren,lauren.brock@dci-student.edu,14
Jones,Daniel,daniel.jones@dci-student.edu,8
Reyes,Bailey,bailey.reyes@dci-student.edu,15
Taylor,Michael,michael.taylor@dci-student.edu,15
Rogers,Sherry,sherry.rogers@dci-student.edu,12
Nguyen,Donna,donna.nguyen@dci-student.edu,12
Poole,Melissa,melissa.poole@dci-student.edu,7
Moore,Kimberly,kimberly.moore@dci-student.edu,14
Duffy,Erin,erin.duffy@dci-student.edu,12
Houston,Emily,emily.houston@dci-student.edu,9
Lopez,Mark,mark.lopez@dci-student.edu,15
Bauer,John,john.bauer@dci-student.edu,7
Cervantes,Scott,scott.cervantes@dci-student.edu,8
Greer,April,april.greer@dci-student.edu,11
Dunn,Amy,amy.dunn@dci-student.edu,12
Foster,Tommy,tommy.foster@dci-student.edu,9
Flores,Brandon,brandon.flores@dci-student.edu,15
Roberts,Steven,steven.roberts@dci-student.edu,14
Curry,Alec,alec.curry@dci-student.edu,9
Powers,Brooke,brooke.powers@dci-student.edu,10
Lester,Aaron,aaron.lester@dci-student.edu,9
Rush,Oscar,oscar.rush@dci-student.edu,14
Parker,Timothy,timothy.parker@dci-student.edu,14
Graham,Benjamin,benjamin.graham@dci-student.edu,15
Miranda,Brett,brett.miranda@dci-student.edu,9
Sanders,Beth,beth.sanders@dci-student.edu,12
Benton,Michael,michael.benton@dci-student.edu,6
Smith,Matthew,matthew.smith@dci-student.edu,14
Lambert,Malaika,malaika.lambert@dci-student.edu,10
Bailey,Belinda,belinda.bailey@dci-student.edu,10
Glover,Heidi,heidi.glover@dci-student.edu,14
Dennis,Rachel,rachel.dennis@dci-student.edu,6
Johnson,Dylan,dylan.johnson@dci-student.edu,9
Carter,Lorraine,lorraine.carter@dci-student.edu,13
Marshall,Shawn,shawn.marshall@dci-student.edu,9
Smith,Crystal,crystal.smith@dci-student.edu,14
Miller,Anthony,anthony.miller@dci-student.edu,8
Price,Ricardo,ricardo.price@dci-student.edu,12
Rodriguez,Alexander,alexander.rodriguez@dci-student.edu,13
Scott,Michelle,michelle.scott@dci-student.edu,15
Harris,John,john.harris@dci-student.edu,14
Miller,Jorge,jorge.miller@dci-student.edu,10
Lee,Danielle,danielle.lee@dci-student.edu,14
Lee,Michelle,michelle.lee@dci-student.edu,13
James,Margaret,margaret.james@dci-student.edu,11
Garza,Jessica,jessica.garza@dci-student.edu,8
Edwards,Timothy,timothy.edwards@dci-student.edu,14
Payne,Douglas,douglas.payne@dci-student.edu,7
Edwards,Nicole,nicole.edwards@dci-student.edu,12
Miller,Stephen,stephen.miller@dci-student.edu,10
Flores,Russell,russell.flores@dci-student.edu,8
Walls,Joyce,joyce.walls@dci-student.edu,6
Hart,Colleen,colleen.hart@dci-student.edu,6
Reilly,Brandy,brandy.reilly@dci-student.edu,13
Odom,John,john.odom@dci-student.edu,15
Rodriguez,John,john.rodriguez@dci-student.edu,12
Reid,Laura,laura.reid@dci-student.edu,13
Davidson,Luke,luke.davidson@dci-student.edu,14
Gonzalez,Matthew,matthew.gonzalez@dci-student.edu,6
Raymond,Troy,troy.raymond@dci-student.edu,7
Perez,Jeffrey,jeffrey.perez@dci-student.edu,7
Woodard,John,john.woodard@dci-student.edu,14
Terry,Amy,amy.terry@dci-student.edu,12
Dudley,Emily,emily.dudley@dci-student.edu,9
Clark,Jill,jill.clark@dci-student.edu,6
Rice,Rhonda,rhonda.rice@dci-student.edu,9
Walsh,Jill,jill.walsh@dci-student.edu,13
Wilkerson,Levi,levi.wilkerson@dci-student.edu,13
Petersen,Kristin,kristin.petersen@dci-student.edu,8
Allen,Christina,christina.allen@dci-student.edu,12
Foster,Ashlee,ashlee.foster@dci-student.edu,12
Williams,Kimberly,kimberly.williams@dci-student.edu,6
Weber,Samuel,samuel.weber@dci-student.edu,12
Sampson,Stephanie,stephanie.sampson@dci-student.edu,10
Sparks,Leslie,leslie.sparks@dci-student.edu,9
Pena,Jonathan,jonathan.pena@dci-student.edu,8
Dunlap,Angela,angela.dunlap@dci-student.edu,11
Webb,Heather,heather.webb@dci-student.edu,11
Terry,Thomas,thomas.terry@dci-student.edu,14
Smith,Andrea,andrea.smith@dci-student.edu,10
Rhodes,Kimberly,kimberly.rhodes@dci-student.edu,13
Schwartz,Billy,billy.schwartz@dci-student.edu,12
Adams,Amy,amy.adams@dci-student.edu,11
Johnson,Stacy,stacy.johnson@dci-student.edu,14
Ortega,Tiffany,tiffany.ortega@dci-student.edu,8
Ramirez,Timothy,timothy.ramirez@dci-student.edu,8
Baldwin,Lucas,lucas.baldwin@dci-student.edu,10
Bryan,Bradley,bradley.bryan@dci-student.edu,12
Hernandez,Taylor,taylor.hernandez@dci-student.edu,12
Jones,Michele,michele.jones@dci-student.edu,6
Thomas,Brandon,brandon.thomas@dci-student.edu,10
Johnson,Paul,paul.johnson@dci-student.edu,14
Bates,Nathan,nathan.bates@dci-student.edu,12
Watson,Holly,holly.watson@dci-student.edu,12
Patrick,Mark,mark.patrick@dci-student.edu,11
Reyes,Carol,carol.reyes@dci-student.edu,15
Dennis,Cameron,cameron.dennis@dci-student.edu,6
Young,Joseph,joseph.young@dci-student.edu,14
Elliott,Richard,richard.elliott@dci-student.edu,13
Simpson,Felicia,felicia.simpson@dci-student.edu,7
