ID,Name,NetID,Email Address,Section
1234567,"Barrera Jr., Woody",WXB12345,WOODY.BARRERA_JR@DCI-STUDENT.EDU,1
2345678,"Lambert, Malaika",MXL12345,MALAIKA.LAMBERT@DCI-STUDENT.EDU,2
3456789,"Joyce, Traci",TXJ12345,TRACI.JOYCE@DCI-STUDENT.EDU,1
4567890,"Flower, John Gregg",JGF12345,JOHN.G.2.FLOWER@DCI-STUDENT.EDU,3
8406082,"Johnson, Stacy Michael",SMJ00936,STACY.JOHNSON@DCI-STUDENT.EDU,2
2546149,"Saunders, Richard",RXS30280,RICHARD.SAUNDERS@DCI-STUDENT.EDU,1
6426067,"Anderson, Daisy Michael",DMA58910,DAISY.ANDERSON@DCI-STUDENT.EDU,2
5622557,"Watson, Holly Samuel",HSW06874,HOLLY.WATSON@DCI-STUDENT.EDU,2
2916149,"Reilly, Brandy Kevin",BKR19538,BRANDY.REILLY@DCI-STUDENT.EDU,2
2218112,"Carter, Lorraine",LXC64780,LORRAINE.CARTER@DCI-STUDENT.EDU,2
6097881,"Price, Ricardo",RXP56459,RICARDO.PRICE@DCI-STUDENT.EDU,3
2968584,"Douglas, Robert",RXD29805,ROBERT.DOUGLAS@DCI-STUDENT.EDU,2
6972487,"White, Amy Leslie",ALW07647,AMY.WHITE@DCI-STUDENT.EDU,3
2886234,"Houston, Emily Donna",EDH14938,EMILY.HOUSTON@DCI-STUDENT.EDU,1
5704583,"Bennett, Richard Jamie",RJB91830,RICHARD.BENNETT@DCI-STUDENT.EDU,1
1905666,"Simpson, Felicia",FXS77894,FELICIA.SIMPSON@DCI-STUDENT.EDU,3
4412160,"Powers, Brooke David",BDP78944,BROOKE.POWERS@DCI-STUDENT.EDU,1
8794639,"Miller, Stephen Elizabeth",SEM28474,STEPHEN.MILLER@DCI-STUDENT.EDU,2
8164846,"Graham, Benjamin James",BJG14618,BENJAMIN.GRAHAM@DCI-STUDENT.EDU,2
1590887,"Glover, Heidi",HXG56446,HEIDI.GLOVER@DCI-STUDENT.EDU,2
1454597,"Rogers, Sherry Benjamin",SBR74322,SHERRY.ROGERS@DCI-STUDENT.EDU,2
6984374,"Roberts, Steven Katherine",SKR62062,STEVEN.ROBERTS@DCI-STUDENT.EDU,2
9248728,"Young, Joseph Teresa",JTY40106,JOSEPH.YOUNG@DCI-STUDENT.EDU,1
2332731,"Guzman, Cynthia",CXG21963,CYNTHIA.GUZMAN@DCI-STUDENT.EDU,1
6611132,"Delgado, Desiree Jennifer",DJD31335,DESIREE.DELGADO@DCI-STUDENT.EDU,2
5505240,"Warren, Tamara Shawn",TSW14969,TAMARA.WARREN@DCI-STUDENT.EDU,1
8776566,"Harris, John Lisa",JLH15029,JOHN.HARRIS@DCI-STUDENT.EDU,1
5780203,"Good, Sherry Mark",SMG03171,SHERRY.GOOD@DCI-STUDENT.EDU,2
7521527,"Brown, Kelsey Steven",KSB85997,KELSEY.BROWN@DCI-STUDENT.EDU,2
7474490,"Daniel, William Austin",WAD63934,WILLIAM.DANIEL@DCI-STUDENT.EDU,2
9650939,"Lopez, Mark Steven",MSL77920,MARK.LOPEZ@DCI-STUDENT.EDU,1
1735079,"Hernandez, Taylor Harold",THH29195,TAYLOR.HERNANDEZ@DCI-STUDENT.EDU,1
6278235,"Miller, Jorge",JXM83777,JORGE.MILLER@DCI-STUDENT.EDU,1
5665427,"Terry, Thomas",TXT65366,THOMAS.TERRY@DCI-STUDENT.EDU,1
3830106,"Smith, Crystal Jason",CJS43553,CRYSTAL.SMITH@DCI-STUDENT.EDU,3
9204701,"Cooper, Adam Melvin",AMC28428,ADAM.COOPER@DCI-STUDENT.EDU,2
9365638,"Brock, Lauren Mark",LMB95641,LAUREN.BROCK@DCI-STUDENT.EDU,2
3711195,"Ramirez, Timothy",TXR84689,TIMOTHY.RAMIREZ@DCI-STUDENT.EDU,3
6847480,"Smith, Andrea Erica",AES07091,ANDREA.SMITH@DCI-STUDENT.EDU,2
9326195,"Rodriguez, John Sandra",JSR21334,JOHN.RODRIGUEZ@DCI-STUDENT.EDU,3
2260221,"Miller, Anthony",AXM26865,ANTHONY.MILLER@DCI-STUDENT.EDU,3
9006764,"Garcia, Desiree Stephanie",DSG54218,DESIREE.GARCIA@DCI-STUDENT.EDU,2
7485180,"Martin, Ashley Sara",ASM59771,ASHLEY.MARTIN@DCI-STUDENT.EDU,2
3454432,"Dennis, Cameron",CXD92501,CAMERON.DENNIS@DCI-STUDENT.EDU,1
1866225,"Faulkner, Katelyn",KXF45205,KATELYN.FAULKNER@DCI-STUDENT.EDU,1
1067615,"Anderson, Lauren Billy",LBA53221,LAUREN.ANDERSON@DCI-STUDENT.EDU,2
4133244,"Williams, Kimberly",KXW26270,KIMBERLY.WILLIAMS@DCI-STUDENT.EDU,2
9496845,"Thomas, Brandon",BXT62105,BRANDON.THOMAS@DCI-STUDENT.EDU,3
3932938,"Daniels, Amber",AXD11293,AMBER.DANIELS@DCI-STUDENT.EDU,2
1397380,"Reid, Laura Clarence",LCR30757,LAURA.REID@DCI-STUDENT.EDU,3
8605280,"Woodard, John",JXW87000,JOHN.WOODARD@DCI-STUDENT.EDU,2
7046482,"Schwartz, Billy",BXS54690,BILLY.SCHWARTZ@DCI-STUDENT.EDU,1
6503525,"Clark, Jill Gregg",JGC21028,JILL.CLARK@DCI-STUDENT.EDU,3
5630129,"Friedman, Linda Lance",LLF55044,LINDA.FRIEDMAN@DCI-STUDENT.EDU,3
7482388,"Beck, David John",DJB29817,DAVID.BECK@DCI-STUDENT.EDU,1
4570025,"Curry, Alec",AXC64717,ALEC.CURRY@DCI-STUDENT.EDU,2
7250041,"Bailey, Belinda Michael",BMB94857,BELINDA.BAILEY@DCI-STUDENT.EDU,3
