,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 Max Points,Homework 2,Homework 2 Max Points,Homework 3,Homework 3 Max Points,Homework 4,Homework 4 Max Points,Homework 5,Homework 5 Max Points,Homework 6,Homework 6 Max Points,Homework 7,Homework 7 Max Points,Homework 8,Homework 8 Max Points,Homework 9,Homework 9 Max Points,Homework 10,Homework 10 Max Points,Exam 1,Exam 1 Max Points,Exam 2,Exam 2 Max Points,Exam 3,Exam 3 Max Points,Quiz 3,Quiz 1,Quiz 4,Quiz 2,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
ara97741,amy.adams@dci-student.edu,1,Amy,Adams,49.0,80,53,80,55,80,78,100,46,70,59,90,49,50,58,70,39,60,54,60,87,100,74,100,76,100,12,9,8,11,10,0.87,0.74,0.76,,,,0.7246376811594203,0.7324318818436466,0.7324318818436466,0.45122956455309393,46,F
cxa22039,christina.allen@dci-student.edu,1,Christina,Allen,63.0,80,78,80,76,80,68,100,53,70,83,90,44,50,69,70,39,60,43,60,60,100,70,100,67,100,14,10,14,12,8,0.6,0.7,0.67,,,,0.8405797101449275,0.8398573975044563,0.8405797101449275,0.45267391304347826,46,F
lxb98047,lucas.baldwin@dci-student.edu,1,Lucas,Baldwin,79.0,80,50,80,77,80,95,100,55,70,76,90,30,50,67,70,55,60,50,60,83,100,74,100,97,100,9,7,12,10,11,0.83,0.74,0.97,,,,0.7101449275362319,0.7212503183091419,0.7212503183091419,0.4773750954927426,48,F
wxb12345,woody.barrera_jr@dci-student.edu,1,Woody,Barrera,55.0,80,62,80,73,80,83,100,68,70,87,90,36,50,43,70,45,60,46,60,86,100,62,100,90,100,11,4,7,10,10,0.86,0.62,0.9,,,,0.6086956521739131,0.6021390374331551,0.6086956521739131,0.42260869565217396,43,F
jxb40799,john.bauer@dci-student.edu,1,John,Bauer,57.0,80,70,80,73,80,83,100,56,70,89,90,38,50,57,70,57,60,44,60,64,100,88,100,92,100,13,4,9,7,8,0.64,0.88,0.92,,,,0.5942028985507246,0.5809065444359562,0.5942028985507246,0.43626086956521737,44,F
djb29817,david.beck@dci-student.edu,1,David,Beck,62.0,80,79,80,48,80,61,100,43,70,59,90,42,50,51,70,55,60,39,60,91,100,74,100,65,100,7,4,12,7,7,0.91,0.74,0.65,,,,0.5362318840579711,0.5365087853323148,0.5365087853323148,0.37795263559969444,38,F
rjb91830,richard.bennett@dci-student.edu,1,Richard,Bennett,76.0,80,75,80,77,80,68,100,49,70,80,90,34,50,45,70,57,60,53,60,66,100,97,100,88,100,9,10,8,6,10,0.66,0.97,0.88,,,,0.6231884057971014,0.6486529157117393,0.6486529157117393,0.4565958747135218,46,F
cxd92501,cameron.dennis@dci-student.edu,1,Cameron,Dennis,75.0,80,73,80,59,80,61,100,43,70,67,90,36,50,59,70,51,60,54,60,88,100,66,100,68,100,13,4,5,6,4,0.88,0.66,0.68,,,,0.463768115942029,0.4437636872930991,0.463768115942029,0.35113043478260875,36,F
eed42850,emily.dudley@dci-student.edu,1,Emily,Dudley,53.0,80,80,80,62,80,93,100,70,70,62,90,40,50,62,70,37,60,37,60,96,100,73,100,76,100,8,5,9,9,9,0.96,0.73,0.76,,,,0.5797101449275363,0.5835981665393429,0.5835981665393429,0.4100794499618029,42,F
exd72538,erin.duffy@dci-student.edu,1,Erin,Duffy,66.0,80,54,80,50,80,65,100,56,70,65,90,35,50,46,70,46,60,59,60,85,100,92,100,88,100,14,9,5,12,10,0.85,0.92,0.88,,,,0.7246376811594203,0.7264374840845429,0.7264374840845429,0.48443124522536285,49,F
rge65208,richard.elliott@dci-student.edu,1,Richard,Elliott,49.0,80,64,80,76,80,80,100,49,70,65,90,41,50,55,70,37,60,42,60,66,100,64,100,74,100,17,6,11,13,12,0.66,0.64,0.74,,,,0.855072463768116,0.8395670995670995,0.855072463768116,0.4645217391304348,47,F
kxf45205,katelyn.faulkner@dci-student.edu,1,Katelyn,Faulkner,65.0,80,65,80,55,80,90,100,69,70,65,90,34,50,69,70,44,60,42,60,68,100,60,100,61,100,17,6,14,12,6,0.68,0.6,0.61,,,,0.7971014492753623,0.7690909090909092,0.7971014492753623,0.42463043478260865,43,F
txf41578,tommy.foster@dci-student.edu,1,Tommy,Foster,49.0,80,63,80,51,80,83,100,64,70,86,90,32,50,56,70,51,60,38,60,78,100,88,100,65,100,7,9,10,9,9,0.78,0.88,0.65,,,,0.6376811594202898,0.6588464476699771,0.6588464476699771,0.42215393430099313,43,F
jag55224,jessica.garza@dci-student.edu,1,Jessica,Garza,49.0,80,77,80,71,80,69,100,44,70,74,90,46,50,64,70,46,60,55,60,90,100,79,100,62,100,16,8,11,8,10,0.9,0.79,0.62,,,,0.7681159420289855,0.764166030048383,0.7681159420289855,0.4474347826086956,45,F
mjg41514,matthew.gonzalez@dci-student.edu,1,Matthew,Gonzalez,75.0,80,74,80,76,80,70,100,46,70,62,90,45,50,49,70,58,60,52,60,78,100,73,100,60,100,16,7,11,6,12,0.78,0.73,0.6,,,,0.7536231884057971,0.7526508785332314,0.7536231884057971,0.4280869565217391,43,F
cxg21963,cynthia.guzman@dci-student.edu,1,Cynthia,Guzman,63.0,80,68,80,48,80,67,100,55,70,54,90,38,50,51,70,57,60,47,60,64,100,74,100,66,100,14,6,10,15,7,0.64,0.74,0.66,,,,0.7536231884057971,0.7333206009676598,0.7536231884057971,0.4310869565217391,44,F
jlh15029,john.harris@dci-student.edu,1,John,Harris,74.0,80,77,80,53,80,89,100,69,70,87,90,47,50,43,70,39,60,60,60,91,100,90,100,95,100,12,9,6,14,12,0.91,0.9,0.95,,,,0.7681159420289855,0.7771937866055513,0.7771937866055513,0.5111581359816654,52,F
cxh80084,colleen.hart@dci-student.edu,1,Colleen,Hart,48.0,80,70,80,59,80,81,100,46,70,62,90,38,50,52,70,45,60,59,60,68,100,72,100,62,100,17,6,9,6,7,0.68,0.72,0.62,,,,0.6521739130434783,0.6343290043290043,0.6521739130434783,0.3946521739130435,40,F
thh29195,taylor.hernandez@dci-student.edu,1,Taylor,Hernandez,54.0,80,52,80,53,80,67,100,56,70,77,90,33,50,57,70,52,60,46,60,92,100,83,100,98,100,14,11,5,12,9,0.92,0.83,0.98,,,,0.7391304347826086,0.7461344537815127,0.7461344537815127,0.4998403361344538,50,F
edh14938,emily.houston@dci-student.edu,1,Emily,Houston,54.0,80,60,80,56,80,71,100,56,70,71,90,46,50,55,70,52,60,40,60,100,100,78,100,87,100,17,8,5,9,11,1.0,0.78,0.87,,,,0.7246376811594203,0.7202164502164502,0.7246376811594203,0.4758913043478261,48,F
bch39598,brett.hunt@dci-student.edu,1,Brett,Hunt,72.0,80,72,80,57,80,77,100,62,70,78,90,43,50,42,70,43,60,58,60,85,100,72,100,89,100,16,4,7,11,12,0.85,0.72,0.89,,,,0.7246376811594203,0.7076292335115865,0.7246376811594203,0.46539130434782605,47,F
dcj14616,daniel.jones@dci-student.edu,1,Daniel,Jones,61.0,80,49,80,78,80,98,100,56,70,85,90,32,50,42,70,40,60,58,60,79,100,68,100,61,100,11,8,7,8,10,0.79,0.68,0.61,,,,0.6376811594202898,0.6481996434937611,0.6481996434937611,0.39345989304812834,40,F
mxj54725,michele.jones@dci-student.edu,1,Michele,Jones,67.0,80,61,80,65,80,95,100,63,70,89,90,42,50,58,70,43,60,55,60,100,100,82,100,63,100,12,7,6,6,6,1.0,0.82,0.63,,,,0.5362318840579711,0.5341634835752482,0.5362318840579711,0.3873695652173913,39,F
txj12345,traci.joyce@dci-student.edu,1,Traci,Joyce,0.0,80,77,80,58,80,91,100,66,70,78,90,30,50,69,70,59,60,53,60,100,100,84,100,64,100,14,8,9,6,4,1.0,0.84,0.64,,,,0.5942028985507246,0.5853985230455819,0.5942028985507246,0.4082608695652174,41,F
pmk49230,paige.king@dci-student.edu,1,Paige,King,61.0,80,61,80,61,80,75,100,63,70,86,90,43,50,64,70,50,60,46,60,97,100,99,100,63,100,17,8,14,13,9,0.97,0.99,0.63,,,,0.8840579710144928,0.8687878787878788,0.8840579710144928,0.5072173913043478,51,F
mxl67812,michelle.lee@dci-student.edu,1,Michelle,Lee,56.0,80,68,80,57,80,74,100,53,70,89,90,32,50,57,70,48,60,39,60,91,100,76,100,77,100,16,9,10,13,10,0.91,0.76,0.77,,,,0.8405797101449275,0.8347288006111535,0.8405797101449275,0.48917391304347824,49,F
msl77920,mark.lopez@dci-student.edu,1,Mark,Lopez,58.0,80,51,80,55,80,69,100,65,70,81,90,32,50,59,70,45,60,40,60,94,100,87,100,78,100,15,4,7,15,9,0.94,0.87,0.78,,,,0.7246376811594203,0.6991978609625669,0.7246376811594203,0.46839130434782605,47,F
nxm87406,nicole.mann@dci-student.edu,1,Nicole,Mann,73.0,80,53,80,80,80,75,100,60,70,88,90,49,50,70,70,54,60,45,60,99,100,85,100,97,100,12,11,11,8,9,0.99,0.85,0.97,,,,0.7391304347826086,0.754985994397759,0.754985994397759,0.5064957983193277,51,F
sgm04582,shawn.marshall@dci-student.edu,1,Shawn,Marshall,70.0,80,73,80,50,80,96,100,49,70,55,90,46,50,52,70,38,60,39,60,69,100,68,100,62,100,15,8,11,9,6,0.69,0.68,0.62,,,,0.7101449275362319,0.6990679908326967,0.7101449275362319,0.40854347826086956,41,F
jxm83777,jorge.miller@dci-student.edu,1,Jorge,Miller,69.0,80,56,80,59,80,88,100,50,70,67,90,47,50,64,70,58,60,57,60,74,100,73,100,81,100,6,10,14,10,11,0.74,0.73,0.81,,,,0.7391304347826086,0.7690730837789661,0.7690730837789661,0.4622219251336898,47,F
kam90876,kimberly.moore@dci-student.edu,1,Kimberly,Moore,79.0,80,60,80,70,80,90,100,54,70,61,90,38,50,54,70,46,60,36,60,64,100,96,100,64,100,17,6,8,14,4,0.64,0.96,0.64,,,,0.7101449275362319,0.6767099567099566,0.7101449275362319,0.4370434782608696,44,F
dxn21936,donna.nguyen@dci-student.edu,1,Donna,Nguyen,52.0,80,78,80,59,80,76,100,55,70,58,90,32,50,65,70,48,60,46,60,70,100,87,100,64,100,14,7,9,12,4,0.7,0.87,0.64,,,,0.6666666666666666,0.6472167048637637,0.6666666666666666,0.418,42,F
tmo55387,tiffany.ortega@dci-student.edu,1,Tiffany,Ortega,64.0,80,56,80,56,80,63,100,58,70,79,90,30,50,65,70,51,60,51,60,70,100,82,100,62,100,15,7,14,8,12,0.7,0.82,0.62,,,,0.8115942028985508,0.810409982174688,0.8115942028985508,0.4534782608695652,46,F
txp55047,timothy.parker@dci-student.edu,1,Timothy,Parker,50.0,80,76,80,65,80,72,100,68,70,65,90,42,50,50,70,43,60,59,60,73,100,93,100,66,100,13,9,14,14,10,0.73,0.93,0.66,,,,0.8695652173913043,0.8699108734402852,0.8699108734402852,0.4894732620320855,49,F
mjp68159,mark.patrick@dci-student.edu,1,Mark,Patrick,70.0,80,65,80,73,80,84,100,68,70,74,90,34,50,43,70,36,60,55,60,92,100,65,100,80,100,10,10,8,11,4,0.92,0.65,0.8,,,,0.6231884057971014,0.6270842882607588,0.6270842882607588,0.41912528647822767,42,F
dxp49123,douglas.payne@dci-student.edu,1,Douglas,Payne,48.0,80,55,80,49,80,62,100,46,70,90,90,35,50,62,70,51,60,51,60,74,100,71,100,96,100,7,8,12,7,5,0.74,0.71,0.96,,,,0.5652173913043478,0.575902724726254,0.575902724726254,0.4247708174178762,43,F
jmp63760,jonathan.pena@dci-student.edu,1,Jonathan,Pena,53.0,80,74,80,55,80,70,100,51,70,74,90,33,50,63,70,47,60,42,60,74,100,79,100,84,100,13,9,10,8,5,0.74,0.79,0.84,,,,0.6521739130434783,0.6494346829640947,0.6521739130434783,0.4376521739130435,44,F
ksp17362,kristin.petersen@dci-student.edu,1,Kristin,Petersen,49.0,80,77,80,75,80,90,100,54,70,90,90,45,50,47,70,46,60,40,60,97,100,68,100,97,100,7,8,5,8,5,0.97,0.68,0.97,,,,0.4782608695652174,0.4892360580595875,0.4892360580595875,0.40877081741787624,41,F
bdp78944,brooke.powers@dci-student.edu,1,Brooke,Powers,80.0,80,60,80,53,80,66,100,46,70,85,90,45,50,54,70,44,60,57,60,77,100,87,100,90,100,17,6,10,10,8,0.77,0.87,0.9,,,,0.7391304347826086,0.7186147186147186,0.7391304347826086,0.4822391304347826,49,F
rkr43763,rhonda.rice@dci-student.edu,1,Rhonda,Rice,77.0,80,48,80,53,80,68,100,67,70,67,90,50,50,43,70,43,60,52,60,61,100,98,100,96,100,14,8,6,9,9,0.61,0.98,0.96,,,,0.6666666666666666,0.6658747135217722,0.6666666666666666,0.4724999999999999,48,F
bms82804,beth.sanders@dci-student.edu,1,Beth,Sanders,59.0,80,67,80,53,80,85,100,68,70,77,90,41,50,52,70,50,60,42,60,73,100,71,100,67,100,9,4,10,12,9,0.73,0.71,0.67,,,,0.6376811594202898,0.631466768525592,0.6376811594202898,0.3993043478260869,40,F
rxs30280,richard.saunders@dci-student.edu,1,Richard,Saunders,53.0,80,56,80,48,80,87,100,46,70,55,90,32,50,57,70,56,60,36,60,65,100,93,100,64,100,15,10,12,8,12,0.65,0.93,0.64,,,,0.8260869565217391,0.836384008148714,0.836384008148714,0.4724152024446142,48,F
bxs54690,billy.schwartz@dci-student.edu,1,Billy,Schwartz,56.0,80,52,80,56,80,89,100,46,70,66,90,33,50,51,70,48,60,52,60,89,100,62,100,93,100,11,11,10,12,9,0.89,0.62,0.93,,,,0.7681159420289855,0.7822689075630253,0.7822689075630253,0.4806806722689076,49,F
kxs29884,kerry.smith@dci-student.edu,1,Kerry,Smith,53.0,80,73,80,53,80,71,100,63,70,69,90,50,50,44,70,55,60,49,60,62,100,95,100,84,100,16,4,5,13,5,0.62,0.95,0.84,,,,0.6231884057971014,0.5890578049401579,0.6231884057971014,0.43895652173913047,44,F
mxs33416,matthew.smith@dci-student.edu,1,Matthew,Smith,75.0,80,53,80,57,80,69,100,53,70,78,90,50,50,51,70,47,60,42,60,66,100,63,100,93,100,7,8,7,14,8,0.66,0.63,0.93,,,,0.6376811594202898,0.647807486631016,0.647807486631016,0.42984224598930476,43,F
txt65366,thomas.terry@dci-student.edu,1,Thomas,Terry,72.0,80,60,80,51,80,96,100,51,70,87,90,31,50,43,70,41,60,50,60,83,100,74,100,99,100,13,8,8,14,9,0.83,0.74,0.99,,,,0.7536231884057971,0.7493481028775146,0.7536231884057971,0.49008695652173917,50,F
sxt33634,sandra.thomas@dci-student.edu,1,Sandra,Thomas,65.0,80,66,80,67,80,68,100,69,70,65,90,39,50,64,70,41,60,38,60,88,100,62,100,96,100,14,9,8,10,4,0.88,0.62,0.96,,,,0.6521739130434783,0.6426279602750191,0.6521739130434783,0.44565217391304346,45,F
jxu45537,james.underwood@dci-student.edu,1,James,Underwood,65.0,80,74,80,73,80,81,100,66,70,79,90,40,50,45,70,51,60,39,60,77,100,76,100,84,100,8,5,9,13,9,0.77,0.76,0.84,,,,0.6376811594202898,0.6369314998726764,0.6376811594202898,0.43180434782608695,44,F
sxv18182,sara.vasquez@dci-student.edu,1,Sara,Vasquez,63.0,80,65,80,67,80,98,100,70,70,65,90,32,50,55,70,40,60,38,60,64,100,73,100,75,100,8,5,6,7,5,0.64,0.73,0.75,,,,0.4492753623188406,0.4474076903488668,0.4492753623188406,0.35228260869565214,36,F
jxw53347,joyce.walls@dci-student.edu,1,Joyce,Walls,59.0,80,77,80,61,80,84,100,44,70,64,90,40,50,45,70,40,60,42,60,69,100,73,100,91,100,9,10,7,6,12,0.69,0.73,0.91,,,,0.6376811594202898,0.6677005347593583,0.6677005347593583,0.44431016042780747,45,F
jxw98212,jill.walsh@dci-student.edu,1,Jill,Walsh,65.0,80,48,80,49,80,73,100,47,70,74,90,38,50,68,70,50,60,38,60,73,100,99,100,78,100,6,6,9,13,4,0.73,0.99,0.78,,,,0.5507246376811594,0.5482505729564553,0.5507246376811594,0.4177173913043478,42,F
axw80146,angela.warren@dci-student.edu,1,Angela,Warren,54.0,80,62,80,59,80,77,100,59,70,85,90,44,50,55,70,58,60,48,60,70,100,84,100,78,100,10,8,5,14,10,0.7,0.84,0.78,,,,0.6811594202898551,0.6878635090399797,0.6878635090399797,0.44235905271199394,45,F
tsw14969,tamara.warren@dci-student.edu,1,Tamara,Warren,74.0,80,53,80,48,80,92,100,57,70,58,90,44,50,54,70,56,60,52,60,77,100,80,100,99,100,16,10,7,14,11,0.77,0.8,0.99,,,,0.8405797101449275,0.8400534759358289,0.8405797101449275,0.5191739130434783,52,F
txw75701,travis.washington@dci-student.edu,1,Travis,Washington,64.0,80,67,80,56,80,92,100,50,70,85,90,46,50,69,70,40,60,52,60,94,100,74,100,68,100,10,11,9,13,8,0.94,0.74,0.68,,,,0.7391304347826086,0.7528851540616246,0.7528851540616246,0.4488655462184874,45,F
sxw76890,samuel.weber@dci-student.edu,1,Samuel,Weber,71.0,80,78,80,74,80,86,100,69,70,81,90,31,50,48,70,55,60,44,60,79,100,96,100,86,100,14,6,5,12,6,0.79,0.96,0.86,,,,0.6231884057971014,0.6052253628724217,0.6231884057971014,0.4514565217391304,46,F
jty40106,joseph.young@dci-student.edu,1,Joseph,Young,51.0,80,69,80,60,80,68,100,67,70,63,90,49,50,42,70,55,60,49,60,72,100,68,100,96,100,12,8,11,14,10,0.72,0.68,0.96,,,,0.7971014492753623,0.7971072065189713,0.7971072065189713,0.48713216195569137,49,F
